,pearson_correlation,spearman_correlation
alcohol,0.4036762615909753,0.3828295623037244
citric acid,0.2511458413900233,0.24568756815835818
sulphates,0.2080195087302939,0.29101873908078724
fixed acidity,0.12321193904248555,0.12260321678048838
residual sugar,0.06414532784421305,0.06035227375706186
free sulfur dioxide,-0.055977260206099416,-0.064446864849526
pH,-0.07331806042475346,-0.08058658889399958
chlorides,-0.10398486595322616,-0.17622076432769912
total sulfur dioxide,-0.11337250771020227,-0.1455394713476837
density,-0.14866997994060954,-0.15323393626417253
volatile acidity,-0.30452321258483783,-0.3259932573693081
