feature_name,type
fixed acidity,original (physicochemical)
volatile acidity,original (physicochemical)
citric acid,original (physicochemical)
residual sugar,original (physicochemical)
chlorides,original (physicochemical)
free sulfur dioxide,original (physicochemical)
total sulfur dioxide,original (physicochemical)
density,original (physicochemical)
pH,original (physicochemical)
sulphates,original (physicochemical)
alcohol,original (physicochemical)
sulfur_ratio,criada (feature engineering)
acidity_balance,criada (feature engineering)
alcohol_density_ratio,criada (feature engineering)
sugar_alcohol_ratio,criada (feature engineering)
