,count,percentage,lower_bound,upper_bound
fixed acidity,44,3.849518810148731,4.1,12.1
volatile acidity,14,1.2248468941382327,0.021250000000000047,1.01125
citric acid,1,0.08748906386701663,-0.4049999999999999,0.9149999999999999
residual sugar,110,9.623797025371829,0.8499999999999996,3.6500000000000004
chlorides,77,6.73665791776028,0.04000000000000002,0.11999999999999998
free sulfur dioxide,18,1.574803149606299,-14.0,42.0
total sulfur dioxide,40,3.499562554680665,-39.0,121.0
density,36,3.149606299212598,0.9921574999999999,1.0012575
pH,20,1.7497812773403325,2.9125000000000005,3.6925
sulphates,43,3.762029746281715,0.28000000000000014,0.9999999999999999
alcohol,12,1.0498687664041995,7.1000000000000005,13.5
